Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
The War Years,1861-1865,the Civil War,Rev. Ricky Hoyt,False,False,$200,False,1,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
Museums,"Elvis-a-Rama, just off the strip in this city is said to have $5 million worth of Elvis memorabilia on display",Las Vegas,David Bitkower,False,False,$200,False,2,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
Literary Lingo,"From the Greek for ""to sing"", Keats wrote several including one ""On Melancholy""",an ode,David Bitkower,False,False,$200,False,11,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
"""S""Ports","In declaring the winner in tennis, it traditionally comes between ""game"" & ""match""","""set""",David Bitkower,False,False,$200,False,21,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
Homemaking,"Camphor is used to make plastics, but it's also a common repellent for these clothes-munchers",a moth,Rev. Ricky Hoyt,False,False,$200,False,25,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
-O-O-O- Yes!,"At this game's start, each player gets $1,500",Monopoly,Connie Campbell,False,False,$200,False,16,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
The War Years,1914-1918,World War I,David Bitkower,False,False,$400,False,3,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
Museums,"Bertramka Villa in Prague, a museum devoted to this ""Don Giovanni"" composer, has his harpsichord in display",Mozart,Rev. Ricky Hoyt,False,False,$400,False,7,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
Literary Lingo,"The term ""stream of"" this first appeared in William James' 1890 textbook ""The Principles of Psychology""",consciousness,Rev. Ricky Hoyt,False,False,$400,False,12,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
"""S""Ports",(Sofia of the Clue Crew delivers the clue... and a perfect shot!)  Five-letter term that describes the perfection of the shot seen here... (I won't tell you what number take this is),swish,David Bitkower,False,False,$400,False,22,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
Homemaking,"If you're washing greasy dishes, use cold water as you run this device",the disposal,Rev. Ricky Hoyt,False,False,$400,False,26,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
-O-O-O- Yes!,This son of Bathsheba was noted for a meeting with the Queen of Sheba,Solomon,Rev. Ricky Hoyt,False,False,$400,False,17,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
The War Years,"In North America,1754-1763",the French & Indian Wars,Connie Campbell,False,False,$600,False,4,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
Museums,"The museum devoted to this pop artist is in Pittsburgh, where he went to college",Andy Warhol,Rev. Ricky Hoyt,False,False,"$1,000",True,8,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
Literary Lingo,"In the Petrarchian type of these, an octave is followed by a stanza of 6 lines",a sonnet,Rev. Ricky Hoyt,False,False,$600,False,13,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
"""S""Ports",In football only the defense can score one of these,a safety,David Bitkower,False,False,$600,False,23,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
Homemaking,"When I sweep these ""hare-y"" items out from under the bed, they're not nearly as cute as Chuck Jones' Bugs",a dust bunny,Rev. Ricky Hoyt,False,False,$600,False,27,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
-O-O-O- Yes!,In October 1973 this show debuted with Tom Snyder as its host,Tomorrow,,True,False,$600,False,18,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
The War Years,264-241 B.C.,the First Punic War,Connie Campbell,False,False,$800,False,5,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
Museums,The Beachside branch of this Ca. museum endowed by an oil tycoon is modeled on the Villa Dei Papiri of ancient Rome,the Getty Museum,Rev. Ricky Hoyt,False,False,$800,False,9,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
Literary Lingo,This adjective describes a genre of Spanish prose that depicts the adventures of roguish heroes,picaresque,Connie Campbell,False,False,$800,False,14,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
"""S""Ports",Bobby Hull & Al MacInnis are among NHL players famous for this powerful type of shot,slap,Rev. Ricky Hoyt,False,False,$800,False,24,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
Homemaking,"Properly speaking, a piece of carpet that isn't wall-to-wall is called this, also a slang term for a toupee",a rug,Rev. Ricky Hoyt,False,False,$800,False,28,Show #4136,"Monday, September 2, 2002",Jeopardy! Round
