Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
National Geographic Atlas Of The National Parks,Here's a view of this Utah national park through one of the sandstone features for which it is named,Arches,Ken Jennings,False,False,200,False,29,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
"The Shakespeare Play, & I Quote...","Tybalt,Act I, scene v:""Uncle""",Romeo and Juliet,Ken Jennings,False,False,200,False,22,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
School Days,"(Norman Lear delivers the clue.)  From the Latin for ""citizen"", it's the study of the rights & duties of citizens; I took it at P.S. 67 in New York & it would help our country if more kids studied it now",civics,Brad Rutter,False,False,200,False,20,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
Musical Instruments,Sackbut is an old name for this instrument that has a slide & a bell,a trombone,Brad Rutter,False,False,200,False,30,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
The Totally Rad 1980S,"Hey, babe! I made you a bitchin' mixtape to play on this Sony item that dominated the '80s & began in the U.S. as the ""Soundabout""",a Walkman,Ken Jennings,False,False,200,False,26,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
The Oscars,Nearly 44 million people were watching the Oscars on ABC in 2014 when this film about Solomon Northup won Best Picture,12 Years a Slave,Ken Jennings,False,False,200,False,24,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
National Geographic Atlas Of The National Parks,"This national park in New Mexico is home to large colonies of bats, seen here",Carlsbad Caverns,James Holzhauer,False,False,400,False,28,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
"The Shakespeare Play, & I Quote...","Ariel,Act I, scene ii:""No""",The Tempest,Ken Jennings,False,False,400,False,21,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
School Days,"Adam Sandler's song ""Lunch Lady Land"" says, ""yesterday's meatloaf is today's"" this",sloppy joe,James Holzhauer,False,False,400,False,19,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
Musical Instruments,These paired rattles of Latin America are traditionally made using gourds filled with beads or seeds,maracas,Ken Jennings,False,False,400,False,27,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
The Totally Rad 1980S,Duuuude! You were a massive Spicoli wearing this brand's checkered slip-on sneakers!,Vans,James Holzhauer,False,False,400,False,25,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
The Oscars,"On Oscar night 2016 Best Animated Short went to ""Bear Story""; this other bear story won Best Actor & Best Director",The Revenant,James Holzhauer,False,False,400,False,23,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
National Geographic Atlas Of The National Parks,"The name of this waterfall on the Merced River in Yosemite means ""occurring in spring"", also the time to see it at its peak",Vernal,James Holzhauer,False,False,600,False,5,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
"The Shakespeare Play, & I Quote...","Mustardseed,Act III, scene i:""Mustardseed""",A Midsummer Night\'s Dream,Ken Jennings,False,False,600,False,2,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
School Days,"The 2-word title of a 1972 George Carlin album, it's what George probably was at Corpus Christi Grammar School",Class Clown,Ken Jennings,False,False,600,False,16,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
Musical Instruments,Vivaldi wrote a piece for strings & this instrument that's often associated with beginner musicians,recorder,Brad Rutter,False,False,600,False,14,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
The Totally Rad 1980S,"I thought this movie about Olympic runners would be grody to the max but not even! It won Best Pic, & everyone loves Vangelis!",Chariots of Fire,Brad Rutter,False,False,600,False,1,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
The Oscars,"This half of a sibling duo runs the gamut from ""There's Something About Mary"" to ""Green Book"", for which he won 2 Oscars",Peter Farrelly,Brad Rutter,False,False,600,False,8,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
National Geographic Atlas Of The National Parks,"Head to Sequoia National Park to salute the tree named this, the world's largest by volume",the General Sherman,James Holzhauer,False,False,800,False,4,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
"The Shakespeare Play, & I Quote...","Christopher Sly,Act I, scene i:""Yes""",Taming of the Shrew,Ken Jennings,False,False,800,False,11,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
School Days,High school math! These equations that don't use exponents are so named because of the way they can be graphed,linear equations,Ken Jennings,False,False,800,False,17,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
Musical Instruments,"The score of the movie ""The Third Man"" was performed by Anton Karas, playing this stringed instrument",a zither,Ken Jennings,False,False,800,False,13,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
The Totally Rad 1980S,"I was so stoked when this team USA hockey captain scored the winning goal against the Soviets in 1980's ""Miracle on Ice""!",Eruzione,James Holzhauer,False,False,800,False,3,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
The Oscars,"The second, third & fourth Oscars for Best Actress went to Canadian-born women, starting with her, ""America's Sweetheart""",Pickford,Ken Jennings,False,False,800,False,9,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
National Geographic Atlas Of The National Parks,"A great place for boating, Glen Canyon National Recreation Area is home to this second-largest  manmade lake in the United States",Lake Powell,James Holzhauer,False,False,1000,False,6,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
"The Shakespeare Play, & I Quote...","Achilles,Act II, scene i:""What? What?""",Troilus and Cressida,James Holzhauer,False,False,1000,False,12,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
School Days,The first state law allowing these more autonomous publicly funded schools passed in 1991; today over 40 states allow them,charter schools,James Holzhauer,False,False,1000,False,18,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
Musical Instruments,"Last name of Robert, inventor of an electronic music synthesizer; the instrument was on The Doors album ""Strange Days""",Moog,Brad Rutter,False,False,"1,800",True,15,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
The Totally Rad 1980S,"I'm so sure I had, like, so many pieces on my wall of the work of this '80s artist, a lot like the one seen here",(Patrick) Nagel,Ken Jennings,False,False,1000,False,7,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
The Oscars,"The Oscar-winning song ""It's Hard Out Here For A Pimp"" was by this hip-hop group",Three 6 Mafia,James Holzhauer,False,False,1000,False,10,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Jeopardy! Round
Dancing With The Czars,17th century czar Fyodor III of this dynasty was highly educated & reform minded but died young,Romanov,James Holzhauer,False,False,400,False,22,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
David Muir Covers The World,"(David Muir delivers the clue.)  In 2019 I traveled to Afghanistan to speak with the top U.S. commander General Scott Miller, who said that not just military might but a political settlement with this group might be a necessary part of any endgame in America's longest war",the Taliban,Ken Jennings,False,False,400,False,30,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
"The ""Sat""S","A small unit of a large entity, like a campus apart from the main branch of a university",a satellite,Ken Jennings,False,False,400,False,29,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
Pop Culture Bookshelf,"Ernest Cline's ""Armada"" finds Zack preparing against a perceived attack from aliens hailing from Europa, a moon of this planet",Jupiter,James Holzhauer,False,False,400,False,28,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
"Before, During & After","Oscar-nominated ""South Park"" song that soars in a V formation, with a 1970s Yankee closer","""Blame Canada"" Goose Gossage",Ken Jennings,False,False,400,False,19,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
Chemists,"(Bryan Cranston delivers the clue.)  August Laurent & Jean-Baptiste Dumas hated each other, but they worked together to pioneer this branch of chemistry that focuses on carbon & the carbon compounds found in living things",organic,James Holzhauer,False,False,400,False,27,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
Dancing With The Czars,In 1855 Czar Alexander II came to the throne at the height of this conflict,the Crimean War,James Holzhauer,False,False,800,False,21,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
David Muir Covers The World,(David Muir delivers the clue.)  In 2016 I got a rare look inside this controversial detention facility & watched through one-way glass as some of its remaining inmates engaged in the call to prayer,Guantanamo Bay,Ken Jennings,False,False,800,False,23,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
"The ""Sat""S","Colors can be precisely specified by their brightness & this, their degree of intensity",saturation,Ken Jennings,False,False,800,False,24,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
Pop Culture Bookshelf,"In her memoir ""Inside Out"", this actress says ""St. Elmo's Fire"" saved her life: she had to go to rehab to keep her role in the film",Demi Moore,Ken Jennings,False,False,800,False,25,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
"Before, During & After","Margaret Wise Brown's bunny bids adieu to Ray Charles' ""Sunshine State"" song & the only NFL team with a perfect season","Goodnight Moon ""Over Miami"" Dolphins",James Holzhauer,False,False,800,False,17,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
Chemists,"(Bryan Cranston delivers the clue.)  Visitors at Paris' Bibliothèque Nationale must wear protective gear & sign a liability waiver to study her notebooks, which are stored in heavily shielded boxes",Marie Curie,James Holzhauer,False,False,800,False,26,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
Dancing With The Czars,"As czar from 1547 to 1584, he waged drawn-out wars against Sweden & Poland & also against the nobility of his own country",Ivan the Terrible,Brad Rutter,False,False,1200,False,15,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
David Muir Covers The World,"In Ethiopia, David saw an $11 procedure give sight to people stricken with these, a major cause of preventable blindness worldwide",cataracts,James Holzhauer,False,False,1200,False,14,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
"The ""Sat""S",There's a planet in this word meaning an orgy or a wild celebration,a saturnalia,Ken Jennings,False,False,1200,False,10,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
Pop Culture Bookshelf,"(Kevin Hart delivers the clue.)  There's desert & snow & now, it's Danny Glover taking over my avatar in ""Jumanji: The Next Level"", the most recent film inspired by a book written & illustrated by this man",Van Allsburg,Ken Jennings,False,False,1200,False,13,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
"Before, During & After","Louisiana Purchase explorers joined by LBJ's Secretary of Defense & a ""Golden Boy"" dramatist",Lewis and Clark Clifford Odets,Ken Jennings,False,False,"8,600",True,4,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
Chemists,"(Bryan Cranston delivers the clue.)  Many folks weren't happy with the Nobel committee's decision to give the 1918 Chemistry Prize to ammonia synthesizer Fritz Haber, as he had also overseen Germany's production & use of this on World War I's western front",mustard gas (or poison gas),Ken Jennings,False,False,1200,False,16,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
Dancing With The Czars,"""We understood each other...& let the others prattle"", said Catherine the Great of this longtime adviser & less longtime lover",Grigory Potemkin,,False,False,"4,000",True,1,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
David Muir Covers The World,"(David Muir delivers the clue.)  In 2019 I got an exclusive first look at restoration efforts inside Paris' Notre Dame Cathedral afters its devastating fire; amazingly, the huge 13th century rose windows survived, despite fears that the intense heat might have melted this metal in the frame that supports the stained glass",lead,Ken Jennings,False,False,1600,False,3,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
"The ""Sat""S",It's a kind of mandarin orange,a satsuma,Ken Jennings,False,False,1600,False,8,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
