Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
"""B"" In Geography",Strait separating Alaska & the Soviet Union,the Bering Strait,Ouida Rellstab,False,False,200,False,7,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
Animals,Many of these animals forming the Great Barrier Reef are being eaten by crown-of-thorns starfish,coral,Bob Verini,False,False,200,False,8,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
Golden Oldies,"Title city of 1967 Scott McKenzie hit subtitled ""Be Sure To Wear Some Flowers In Your Hair""",San Francisco,Bob Verini,False,False,200,False,6,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
Chemistry,By its formula you could call this common substance oxygen hydride,water (H2O),Bob Verini,False,False,200,False,26,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
First Ladies,"Shortly after their wedding Ike told her, ""My country comes first and always will.  You come second.""",Mamie Doud Eisenhower,Bob Verini,False,False,200,False,1,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
In The News,"For the 1st time, members of this organization established by JFK are being sent to Poland & Hungary",the Peace Corps,Ouida Rellstab,False,False,200,False,15,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
"""B"" In Geography",The Ganges & Irrawaddy are among the rivers emptying into this large bay,the Bay of Bengal,Steve Rogitz,False,False,400,False,9,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
Animals,"The down this type of duck produces is used to line nests & for jackets, quilts, pillows & sleeping bags",eider,Ouida Rellstab,False,False,400,False,16,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
Golden Oldies,"In Bobbie Gentry's hit song ""Ode To Billie Joe"", Billie Joe jumped off this bridge",the Tallahatchie,Bob Verini,False,False,400,False,10,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
Chemistry,"Bronze & brass are examples of this, a mixture of 2 or more metals",an alloy,Ouida Rellstab,False,False,400,False,27,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
First Ladies,Barbara Bush & Raisa Gorbachev spoke at the 1990 commencement at this college,Wellesley,Bob Verini,False,False,400,False,2,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
In The News,Ronald Reagan was the star witness at the trial of this former national security advisor,John Poindexter,Bob Verini,False,False,400,False,18,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
"""B"" In Geography",Region of France between the Seine & Marne Valleys famous for its soft white cheese,Brie,Steve Rogitz,False,False,600,False,11,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
Animals,"This bright green beetle, a major plant pest, was brought to the U.S. from the orient circa 1916",a Japanese beetle,Steve Rogitz,False,False,600,False,17,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
Golden Oldies,"""There's a crazy little house beyond the tracks, & ev'rybody calls it"" this",the Sugar Shack,Steve Rogitz,False,False,600,False,12,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
Chemistry,This gas is the chief constituent of natural gas,methane,Steve Rogitz,False,False,600,False,28,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
First Ladies,The cologne worn by this wife of our 4th president is still being marketed,Dolley Madison,Bob Verini,False,False,600,False,3,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
In The News,"The town of Kalapana, Hawaii has been virtually destroyed by lava from this volcano",Kîlauea,Steve Rogitz,False,False,600,False,22,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
"""B"" In Geography","Alpine Pass connecting Innsbruck, Austria & Bolzano, Italy",the Brenner,Ouida Rellstab,False,False,800,False,19,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
Animals,They're the only living members of the mammalian family Proboscidea,elephants,Steve Rogitz,False,False,800,False,20,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
Golden Oldies,"Of this car, Ronny & The Daytonas sang, ""You're really looking fine, 3 deuces & a 4-speed, & a 389""","""Little GTO""",Steve Rogitz,False,False,800,False,13,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
Chemistry,Lampblack consists mostly of this element,carbon,Steve Rogitz,False,False,800,False,29,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
First Ladies,"""Murder in the Rose Garden"" is the 7th in a series of mystery novels featuring her as a sleuth",Eleanor Roosevelt,Bob Verini,False,False,800,False,4,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
In The News,1 of the 2 U.S. hostages released in Lebanon in April 1990,Frank Reed (or Robert Polhill),Bob Verini,False,False,800,False,23,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
"""B"" In Geography",With Hercegovina it forms 1 of Yugoslavia's 6 republics,Bosnia,Bruce Naegeli,False,False,1000,False,24,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
Animals,Salamanders called newts when aquatic are called this when terrestrial,efts,Steve Rogitz,False,False,1000,False,21,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
Golden Oldies,"1861 song that was the basis of the following Elvis Presley hit:""Love me tender, love me sweet, never let me go /You have made my life complete...""","""Aura Lee""",,False,False,"2,000",True,14,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
First Ladies,"Julia Gardiner, the 1st to marry a president while in office, married this Virginian in 1844",(John) Tyler,Steve Rogitz,False,False,1000,False,5,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
In The News,She's the Democrat running for governor of Texas in 1990,Ann Richards,Bob Verini,False,False,1000,False,25,Super Jeopardy! show #1,"Saturday, June 16, 1990",Jeopardy! Round
American Revolution,"During the winter of 1777, Washington reorganized his army at this site",Valley Forge,Ouida Rellstab,False,False,500,False,1,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
The Human Body,"Also called the corium, it's the thicker layer of skin under the epidermis",the dermis,Bruce Naegeli,False,False,500,False,2,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Signs & Symbols,"The geometric ratio 3.14159265 is symbolized by this, the 16th letter of the Greek alphabet",pi,Bob Verini,False,False,500,False,12,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Brazil,"When viewed from the air, the layout of this capital city looks like an airplane",Brasília,Steve Rogitz,False,False,500,False,18,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Reference Books,"According to the World Almanac, his ""Baby and Child Care"" is the all-time best selling paperback book",Dr. Spock,Bob Verini,False,False,500,False,6,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Palaces,This city's Potala Palace was home to Dalai Lamas for over 300 years,Lhasa,Bruce Naegeli,False,False,500,False,26,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
American Revolution,"At the end of the Revolution currency was so worthless, ""not worth"" 1 of these became a common phrase",a Continental,Ouida Rellstab,False,False,1000,False,3,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
The Human Body,This tube that carries food from throat to stomach is the narrowest part of the digestive tract,the esophagus,Ouida Rellstab,False,False,1000,False,4,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Signs & Symbols,"This hockey team's logo features a fluke & a ""W""",the Hartford Whalers,Steve Rogitz,False,False,1000,False,13,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Reference Books,"Published in 1985, the 2nd edition of this dictionary costs $2500",the Oxford English Dictionary,Bruce Naegeli,False,False,1000,False,7,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Palaces,This palace facing St. James Park was built for John Sheffield in 1703,Buckingham Palace,,False,False,1000,False,25,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
American Revolution,The Battle of Bunker Hill occurred on this hill,Breed\'s Hill,Bob Verini,False,False,1500,False,8,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
The Human Body,In humans night blindness is an early sign of a deficiency of this vitamin,A,Bob Verini,False,False,1500,False,5,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Signs & Symbols,The value of this answer in Roman numerals,MD,Bob Verini,False,False,1500,False,16,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Reference Books,U.S. historian Allan Nevins is known for his multi-volume works on this war,the Civil War,Bob Verini,False,False,1500,False,9,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Palaces,A palace in Florence has a mural featuring portraits of this ruling family,the Medici,Bob Verini,False,False,1500,False,24,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
American Revolution,This brother of explorer William Clark used his own money to feed & pay his soldiers,George Rogers Clark,Steve Rogitz,False,False,2000,False,14,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
The Human Body,"Harder than bone but softer than enamel, it's the yellowish tissue that makes up the bulk of a tooth",dentin,,False,False,2000,False,21,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Signs & Symbols,"This month's birthstone is turquoise, & its flower, the holly",December,Bob Verini,False,False,2000,False,17,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Reference Books,"Her ""Boston Cooking-School Cookbook"", first published in 1896, is still sold today",Fannie Farmer,Bob Verini,False,False,2000,False,10,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Palaces,Al-Nadwa Palace in Amman is home to this King,King Hussein,Bruce Naegeli,False,False,"5,000",True,23,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
American Revolution,"The Americans took nearly 6,000 prisoners at this N.Y. State battle, called a turning point in the war",Saratoga,Steve Rogitz,False,False,2500,False,15,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
The Human Body,The movable lower jaw is the mandible; the fixed upper jaw is called this,the maxilla,Ouida Rellstab,False,False,2500,False,20,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Signs & Symbols,"Among the symbols in its major arcana are the sun, a hanged man & a fool",tarot cards,Ouida Rellstab,False,False,2500,False,19,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Brazil,Brazil shares borders with all South American countries except for Chile & this one,Ecuador,Bob Verini,False,False,2500,False,27,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Reference Books,"""The History of the Decline & Fall of the Roman Empire"" ends in 1453 with the fall of this city",Constantinople,Bob Verini,False,False,"5,000",True,11,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
Palaces,"Mary, Queen of Scots, bathed in wine in a small building near this palace",Holyrood,Bruce Naegeli,False,False,2500,False,22,Super Jeopardy! show #1,"Saturday, June 16, 1990",Double Jeopardy! Round
9-Letter Words,It can mean to ponder on a subject or to purchase with the expectation of profit,speculate,Brian Wangsgard,False,False,200,False,27,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Celebrities,"To avoid being confuse with B. Bel Geddes, she signs autographs as “J.R.'s Real Mother”",Mary Martin,Kate Waits,False,False,200,False,25,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Africa,These little people who inhabit the Ituri Forest in Zaire may have been its first inhabitants,pygmies,Kate Waits,False,False,200,False,11,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Literature,He spent 5 years as a slave in north Africa before he began work on the first modern Spanish novel,Cervantes,Kate Waits,False,False,200,False,16,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Cooking,"Snail butter, which can be served on other foods, is usually made with 1 or 2 cloves of this",garlic,Brian Wangsgard,False,False,200,False,2,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Famous Horses,Copenhagen was the horse that carried this British leader to victory at the battle of Waterloo,Wellington,Brian Wangsgard,False,False,200,False,1,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
9-Letter Words,"A public officer who keeps the peace, or a British policeman of the lowest order",constable,Brian Wangsgard,False,False,400,False,30,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Celebrities,This founder of the National Review debuted as a harpsichordist with the Phoenix Symphony in 1989,(William) Buckley,Frank Spangenberg,False,False,400,False,13,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Africa,In 1962 the northern half of Ruanda-Urundi became Rwanda & the southern half became this nation,Burundi,Frank Spangenberg,False,False,400,False,14,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Literature,Dublin Theatre formed from the Irish Literary Theatre founded by W.B. Yeats & Lady Gregory,The Abbey,Frank Spangenberg,False,False,400,False,18,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Cooking,"Traditionally, this vegetable put the “red” in red flannel hash",beets,Frank Spangenberg,False,False,400,False,3,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Famous Horses,"Ironically, it was a horse named Comanche who was the only cavalry survivor of this event",Little Big Horn (or Custer\'s Last Stand),Kate Waits,False,False,400,False,4,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
9-Letter Words,"Semantics is the study of a word's meaning, this is the study of a word's history",etymology,Frank Spangenberg,False,False,600,False,26,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Celebrities,"This leading actress'  first film with Michael Douglas was ""Romancing the Stone""",Kathleen Turner,Kate Waits,False,False,600,False,5,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Africa,Explorers from this country claimed Mauritius in 1598 & named it for Prince Maurice of Nassau,Netherlands,Eugene Finerman,False,False,600,False,15,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Literature,"Milan Kundera, a Czech, lived in France when he published “The Unbearable Lightness of” this",Being,Brian Wangsgard,False,False,600,False,19,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Cooking,This school was founded in 1895 to teach cooking to wealthy young Frenchwomen,Le Cordon Bleu,,False,False,600,False,9,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Famous Horses,This Roman emperor gave his horse Incitatus a marble stable,Caligula,Eugene Finerman,False,False,800,True,7,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
9-Letter Words,The name of this children's game can serve as a verb meaning “to leap from place to place”,hopscotch,Kate Waits,False,False,800,False,28,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Celebrities,She also played the offstage voice of Annie Sullivan's brother in the play “The Miracle Worker”,Patty Duke,Eugene Finerman,False,False,800,False,6,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
